Thread ID: 17116160
Total: 0.069990

 %self     total     self     wait    child    calls  name
  0.01      0.00     0.00     0.00     0.00        1  Kernel#puts
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003aebc28(HammerBuilder::Formated.dc[:Strong])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003558e28(HammerBuilder::Formated.dc[:S])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000002fde9c0(HammerBuilder::Formated.dc[:Source])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003a59e68(HammerBuilder::Formated.dc[:Script])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000033cb628(HammerBuilder::Formated.dc[:Command])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003a57a28(HammerBuilder::Formated.dc[:Section])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003d28860(HammerBuilder::Formated.dc[:Th])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000038b48d8(HammerBuilder::Formated.dc[:Select])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000039c4458(HammerBuilder::Formated.dc[:Nav])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000039b1e20(HammerBuilder::Formated.dc[:Rt])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003ad1c88(HammerBuilder::Formated.dc[:Table])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000036809e0(HammerBuilder::Formated.dc[:Sub])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000038b9cc0(HammerBuilder::Formated.dc[:P])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x0000000376b710(HammerBuilder::Formated.dc[:Pre])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003beff48(HammerBuilder::Formated.dc[:Thead])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000030df4c8(HammerBuilder::Formated.dc[:Sup])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003a4a698(HammerBuilder::Formated.dc[:Time])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000036e4fa8(HammerBuilder::Formated.dc[:Em])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000034c1d70(HammerBuilder::Formated.dc[:Address])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003778118(HammerBuilder::Formated.dc[:Textarea])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000038b2308(HammerBuilder::Formated.dc[:Video])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000033aa928(HammerBuilder::Formated.dc[:Mark])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000034a66b0(HammerBuilder::Formated.dc[:Progress])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000036e27a8(HammerBuilder::Formated.dc[:Head])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000030fa8e0(HammerBuilder::Formated.dc[:H4])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000035ede60(HammerBuilder::Formated.dc[:Small])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002593998(HammerBuilder::Formated.dc[:H5])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003b6bdd8(HammerBuilder::Formated.dc[:Tbody])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000027e59d0(HammerBuilder::Formated.dc[:Meter])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000339ca30(HammerBuilder::Formated.dc[:B])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000377b480(HammerBuilder::Formated.dc[:Ins])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003ae39d8(HammerBuilder::Formated.dc[:Ruby])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000377a350(HammerBuilder::Formated.dc[:H1])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003800450(HammerBuilder::Formated.dc[:Li])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000038886e8(HammerBuilder::Formated.dc[:Noscript])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000036e3478(HammerBuilder::Formated.dc[:Object])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000030e11d8(HammerBuilder::Formated.dc[:Caption])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000032ade58(HammerBuilder::Formated.dc[:Kbd])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000039cf768(HammerBuilder::Formated.dc[:Td])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000317bda0(HammerBuilder::Formated.dc[:Abbr])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000026d2c50(HammerBuilder::Formated.dc[:Label])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000348b9a0(HammerBuilder::Formated.dc[:Audio])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002588700(HammerBuilder::Formated.dc[:Body])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000027f6bb8(HammerBuilder::Formated.dc[:Q])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000379b3e8(HammerBuilder::Formated.dc[:Title])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003339ed0(HammerBuilder::Formated.dc[:Canvas])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002dd26b8(HammerBuilder::Formated.dc[:Blockquote])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003e10b38(HammerBuilder::Formated.dc[:Link])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003557e10(HammerBuilder::Formated.dc[:Fieldset])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000036511b8(HammerBuilder::Formated.dc[:Details])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002844ef8(HammerBuilder::Formated.dc[:Dd])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003e1f9d0(HammerBuilder::Formated.dc[:Col])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  IO#puts
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000240a298(HammerBuilder::Formated.dc[:Form])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000027ea250(HammerBuilder::Formated.dc[:Cite])>#set_tag
